query,positive,negative
"
A special provision that releases warranty can be made, but in that situation, when there are rights that the seller establishes on his/her own for a third party, the seller is not released of warranty.
","Even if the seller makes a special agreement to the effect that the seller does not warrant in the case prescribed in the main clause of Article 562, paragraph (1) or Article 565, the seller may not be released from that responsibility with respect to any fact that the seller knew but did not disclose, and with respect to any right that the seller personally created for or assigned to a third party.",No mortgage is extinguished by prescription in relation to obligors and mortgagors unless it is extinguished simultaneously with the claim the mortgage secures.
"
There is a limitation period on pursuance of warranty if there is restriction due to superficies on the subject matter, but there is no restriction on pursuance of warranty if the seller's rights were revoked due to execution of the mortgage.
",The provisions of the preceding three Articles apply mutatis mutandis if the right transferred by the seller to the buyer does not conform to the terms of the contract (including the case in which the seller fails to transfer part of a right that belongs to another person).,"(1) An obligor may duly assert against the assignee any event that has taken place with regard to the assignor by the time of completion of the perfection.
(2) For the purpose of the application of the provisions of the preceding paragraph in the case referred to in Article 466, paragraph (4), the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when a reasonable period of time referred to in Article 466, paragraph (4) has elapsed""; and to apply the provisions of that paragraph in the case referred to in Article 466-3, the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when the obligor receives a request from the assignee referred to in Article 466-3 to make a deposit with an official depository pursuant to the provisions of that Article""."
"
There is a limitation period on pursuance of warranty if there is restriction due to superficies on the subject matter, but there is no restriction on pursuance of warranty if the seller's rights were revoked due to execution of the mortgage.
","If the subject matter delivered by the seller to the buyer does not conform to the terms of the contract with respect to the kind or quality, and the buyer fails to notify the seller of the non-conformity within one year from the time when the buyer becomes aware of it, the buyer may not demand cure of the non-conformity of performance, demand a reduction of the price, claim compensation for loss or damage, or cancel the contract, on the grounds of the non-conformity; provided, however, that this does not apply if the seller knew or did not know due to gross negligence the non-conformity at the time of the delivery.","The family court may decide to commence a guardianship in respect of a person who constantly lacks the capacity to appreciate the person's own situation due to a mental disorder, at the request of the person in question, that person's spouse, that person's relative within the fourth degree of kinship, the person's guardian of a minor, the person's supervisor of a minor's guardian, the person's curator, the person's curator's supervisor, the person's assistant, the person's assistant's supervisor, or a public prosecutor."
"
A compulsory auction is also a sale, so warranty is imposed the same as for an ordinary sale.
","(1) The successful bidder at an auction based on the provisions of the Civil Execution Act and other laws (hereinafter referred to as an ""auction"" in this Article) may cancel the contract or demand a reduction of the price against the obligor pursuant to the provisions of Articles 541 and 542 and the provisions of Article 563 (including as applied mutatis mutandis pursuant to Article 565).
(2) In the cases referred to in the preceding paragraph, if the obligor is insolvent, the successful bidder may demand total or partial reimbursement of the proceeds against the obligees that received the distribution of the proceeds.
(3) In the cases set forth in the preceding two paragraphs, if obligors knew of the absence of the object or right and did not disclose the same, or if obligees knew of the absence but demanded an auction, the successful bidder may claim compensation for loss or damage against those persons.
(4) The provisions of the preceding three paragraphs do not apply to the non-conformity with respect to the kind or quality of the subject matter of an auction.","The obligor of a registered negotiable instrument payable to holder may not duly assert against an assignee in good faith any grounds which could have been duly asserted against the obligee before the assignment of the instrument, except for the particulars written on the instrument or any result which necessarily arises from the nature of the instrument."
"
In cases where a person plans to prevent crime in their own house by fixing the fence of a neighboring house, that person is found as having intent towards the other person.
","(1) A person that has begun to manage a business for another person without being obligated to do so (hereinafter in this Chapter referred to as a ""manager"") must manage that business, in accordance with the nature of the business, in the way that best suits the interests of the principal (hereinafter referred to as ""benevolent intervention in another's business"").
(2) A manager must engage in benevolent intervention in another's business in accordance with the intentions of the principal if the manager knows, or is able to conjecture that intention.","An offeror of reward to the public may revoke the offer to the public made without specifying a period during which the requested act should be performed, if no person completes the requested act; provided, however, that this does not apply if, in the offer to the public, the offeror manifests the intention not to revoke the offer."
"
In cases where an individual rescues another person from getting hit by a car by pushing that person out of the way, causing the person's luxury kimono to get dirty, the rescuer does not have to compensate damages for the kimono.
","If a manager engages in benevolent intervention in another's business in order to allow a principal to escape imminent danger to the principal's person, reputation, or property, the manager is not liable to compensate for damage resulting from this unless the manager has acted in bad faith or with gross negligence.","If the contractor delivers to the party ordering work of a content the subject matter of work that does not conform to the terms of the contract with respect to the kind or quality (in the case of the subject matter of work that is not required to be delivered, if the subject matter of work does not conform to the terms of the contract with respect to the kind or quality when the work is finished), the party ordering work may not demand cure of the non-conformity of performance, demand a reduction of the remuneration, claim compensation for loss or damage, or cancel the contract, on the grounds of the non-conformity caused by the nature of the materials that the party ordering work has provided or any instructions that the relevant party has given; provided, however, that this does not apply if the contractor knew that the materials or instructions were inappropriate but did not notify the ordering party of this."
"
A manager must engage in management exercising care identical to that he/she exercises for his/her own property.
","If a manager engages in benevolent intervention in another's business in order to allow a principal to escape imminent danger to the principal's person, reputation, or property, the manager is not liable to compensate for damage resulting from this unless the manager has acted in bad faith or with gross negligence.","(1) A bailee may not use the bailed thing without obtaining the consent of the bailor.
(2) The bailee may not have a third party keep the bailed thing in custody unless the bailee obtains the consent of the bailor or there is a compelling reason to do so.
(3) A sub-bailee has the same rights and obligations as those of the bailee in relation to the bailor within the scope of authority thereof."
"
In cases where a person repairs the fence of a neighboring house after it collapsed due to a typhoon, but the neighbor had intended to replace the fence with a concrete-block wall in the near future, if a separate typhoon causes the repaired sections to collapse the following week, reimbursement of repair fees can no longer be demanded.
","(1) If a manager has incurred beneficial expenses for a principal, the manager may claim reimbursement of those costs from the principal.
(2) The provisions of Article 650, paragraph (2) apply mutatis mutandis if a manager has incurred beneficial obligations on behalf of the principal.
(3) If a manager has engaged in the benevolent intervention in another's business against the will of the principal, the provisions of the preceding two paragraphs apply mutatis mutandis, solely to the extent currently enriched.","A mortgage extends to the things that form an integral part of the immovables that are the subject matter of the mortgage (hereinafter referred to as ""mortgaged immovables"") except for buildings on the mortgaged land; provided, however, that this does not apply if the act establishing the mortgage provides otherwise or the rescission of fraudulent act may be demanded as prescribed in Article 424, paragraph (3) with regard to the act of the obligor."
"
Even in cases when a parent, based on the authority of parents determined under the law, performs the business of the child as a statutory agent, Management of Business is established.
","(1) A person that has begun to manage a business for another person without being obligated to do so (hereinafter in this Chapter referred to as a ""manager"") must manage that business, in accordance with the nature of the business, in the way that best suits the interests of the principal (hereinafter referred to as ""benevolent intervention in another's business"").
(2) A manager must engage in benevolent intervention in another's business in accordance with the intentions of the principal if the manager knows, or is able to conjecture that intention.","If the subject matter of an obligation is indivisible by nature, and two or more persons bear the obligation jointly and severally based on the provisions of laws and regulations or the manifestation of intention of the parties, the obligee may request one of the joint and several obligors, or all of the joint and several obligors, simultaneously or successively, to perform the obligation, in whole or in part."
"
The employer is released from his/her liability in cases when proof is provided that the employer made proper care regarding the appointment and supervision of the employee.
","(1) A person that employs another person for a business undertaking is liable to compensate for damage inflicted on a third party by that person's employees with respect to the execution of that business; provided, however, that this does not apply if the employer exercised reasonable care in appointing the employee or in supervising the business, or if the damage could not have been avoided even if the employer had exercised reasonable care.
(2) A person that supervises a business on behalf of the employer also has the liability referred to in the preceding paragraph.
(3) The provisions of the preceding two paragraphs do not preclude the employer or supervisor from exercising their right to reimbursement against the employee.","A person that has paid money or delivered thing for an obligation for an illegal cause may not demand the return of the money paid or thing delivered; provided, however, that this does not apply if the illegal cause existed solely in relation to the Beneficiary."
