Lambda,N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
0.0,5,0.00953599781909977,0.9403669724770642,0.043641183634518736,205.77064220183487,194.0,460,15
0.0,50,0.00203347172870993,0.981651376146789,0.010072699188726714,589.8899082568807,592.0,710,290
0.0,100,0.001737547739468432,0.981651376146789,0.008618971214153113,681.9633027522935,695.0,758,534
0.0,300,0.0015564107837209048,1.0,0.007728725346133449,766.3211009174312,768.0,776,737
0.0,500,0.001540661664468342,1.0,0.007651048186147984,774.1100917431193,774.0,776,768
0.1,5,0.012572883185569041,0.981651376146789,0.056815806836298506,181.52293577981652,194.0,442,15
0.1,50,0.002100392113734625,1.0,0.01040212686868237,578.2293577981651,582.0,712,427
0.1,100,0.0017655095146421648,1.0,0.00875824563097127,680.1926605504588,684.0,763,509
0.1,300,0.001565886690821029,1.0,0.007775281349790554,762.697247706422,768.0,776,719
0.1,500,0.001541506327984707,1.0,0.007655211749914823,773.7064220183486,774.0,776,764
0.2,5,0.012677610129934073,0.981651376146789,0.057043786238300836,180.63302752293578,194.0,443,15
0.2,50,0.0020880943071077394,1.0,0.01034228742237705,579.8256880733945,583.0,722,441
0.2,100,0.0017666024942912134,1.0,0.008763815344803975,678.9449541284404,677.0,768,559
0.2,300,0.001566399435224614,1.0,0.0077778630364665185,762.1926605504588,765.0,776,711
0.2,500,0.0015421813310089938,1.0,0.007658542258337207,773.3669724770642,774.0,776,758
0.30000000000000004,5,0.012931407381165725,0.981651376146789,0.05798235863044184,181.348623853211,194.0,493,15
0.30000000000000004,50,0.002086597408087455,1.0,0.010333966560486945,582.2385321100918,586.0,722,351
0.30000000000000004,100,0.001760671836149716,1.0,0.008734608818492322,681.2293577981651,683.0,770,550
0.30000000000000004,300,0.0015662832170111318,1.0,0.007777221851672875,762.6146788990826,765.0,776,729
0.30000000000000004,500,0.001542311615360607,1.0,0.007659191146621212,773.2660550458716,776.0,776,758
0.4,5,0.012562170808981681,0.981651376146789,0.056440846752017375,187.54128440366972,194.0,493,15
0.4,50,0.0020860692170736306,1.0,0.010331495912003285,582.5779816513761,583.0,722,374
0.4,100,0.0017638392716626315,1.0,0.00875019446482006,680.4311926605504,685.0,770,550
0.4,300,0.0015653094277088184,1.0,0.007772453106387285,762.9082568807339,765.0,776,730
0.4,500,0.00154147344578766,1.0,0.007655070477139412,773.605504587156,776.0,776,758
0.5,5,0.012804278062504521,0.981651376146789,0.057516848695678975,183.6422018348624,194.0,454,15
0.5,50,0.0020818593691272883,1.0,0.010310878749691768,583.6788990825688,588.0,722,374
0.5,100,0.0017640054921555213,1.0,0.008750751272673576,681.0642201834862,685.0,762,563
0.5,300,0.0015639709206406714,1.0,0.007765890903435138,763.3394495412844,766.0,776,730
0.5,500,0.0015414002887389805,1.0,0.0076547052023736625,773.6697247706422,776.0,776,758
0.6000000000000001,5,0.012793839793632524,0.981651376146789,0.0574280336206005,184.3394495412844,194.0,454,15
0.6000000000000001,50,0.0020827962017969087,1.0,0.010315461037451387,583.3761467889908,587.0,722,374
0.6000000000000001,100,0.0017562443145262858,1.0,0.008712934233438423,682.5688073394496,685.0,762,556
0.6000000000000001,300,0.0015636409772289814,1.0,0.00776426025053387,763.5229357798165,768.0,776,730
0.6000000000000001,500,0.00154126131640578,1.0,0.007654017497040934,773.7522935779816,776.0,776,758
0.7000000000000001,5,0.012817330481101367,0.981651376146789,0.057524832415139567,183.93577981651376,194.0,454,15
0.7000000000000001,50,0.002072111950394417,1.0,0.010263768295930264,584.440366972477,588.0,722,374
0.7000000000000001,100,0.001756900886227796,1.0,0.008716036644492171,682.9174311926605,688.0,762,550
0.7000000000000001,300,0.0015631833173978722,1.0,0.00776201044739021,763.7064220183486,768.0,776,730
0.7000000000000001,500,0.0015410929982570688,1.0,0.007653187615888899,773.8348623853211,776.0,776,758
0.8,5,0.012798734386138261,0.981651376146789,0.0574381249959859,184.1743119266055,194.0,454,15
0.8,50,0.0020720767773622535,1.0,0.010263544058463142,584.5963302752293,589.0,714,374
0.8,100,0.0017581866662937954,1.0,0.008722248634524825,682.816513761468,688.0,762,550
0.8,300,0.0015628758380355821,1.0,0.007760498454978374,763.8348623853211,768.0,776,730
0.8,500,0.0015410163279139058,1.0,0.007652808198522206,773.8807339449542,776.0,776,758
0.9,5,0.012870063199126954,0.981651376146789,0.05776030198455893,183.71559633027522,194.0,454,15
0.9,50,0.0020644628578057023,1.0,0.010226213778903167,586.6788990825688,592.0,714,374
0.9,100,0.0017539261796374933,1.0,0.008701374746594624,684.1467889908257,691.0,764,550
0.9,300,0.001562673482604703,1.0,0.007759497140466719,763.954128440367,768.0,776,730
0.9,500,0.0015421671640823216,1.0,0.007658449251945242,773.5137614678899,776.0,776,741
1.0,5,0.01280515650250335,0.981651376146789,0.057475453512990084,183.954128440367,194.0,454,15
1.0,50,0.0020581671537017346,1.0,0.01019548629238049,588.1559633027523,589.0,732,374
1.0,100,0.0017525708460226063,1.0,0.008694688836281808,684.7064220183486,691.0,762,550
1.0,300,0.0015618016044248533,1.0,0.007755183673892745,764.4495412844037,768.0,776,731
1.0,500,0.0015417389060727342,1.0,0.007656358161601173,773.605504587156,776.0,776,752
