Lambda,N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
0.0,5,0.012785577278725023,0.8762376237623762,0.050034476714754104,210.33663366336634,194.0,488,6
0.0,50,0.0021421826376963396,0.9801980198019802,0.010605866471639464,594.3267326732673,602.0,716,434
0.0,100,0.0018791188324881118,0.995049504950495,0.009316119300576364,683.5346534653465,691.0,764,494
0.0,300,0.0016762276426391448,1.0,0.008318492077943997,768.1089108910891,769.0,776,747
0.0,500,0.001662760679838648,1.0,0.008252184350899482,774.1287128712871,774.0,776,769
0.1,5,0.010952911417475194,0.9900990099009901,0.048373972733417515,206.69306930693068,194.0,443,6
0.1,50,0.002238991832088841,0.9900990099009901,0.011079453352428204,576.4653465346535,580.0,702,318
0.1,100,0.001894050719723388,0.995049504950495,0.009389426386502801,678.4752475247525,687.0,746,524
0.1,300,0.0016838892214104057,1.0,0.008356297182607213,764.2673267326733,768.0,776,727
0.1,500,0.0016625145888978763,1.0,0.008250973720215942,774.2376237623762,774.0,776,761
0.2,5,0.012230763602433772,0.9900990099009901,0.05335791709993864,202.12871287128712,194.0,443,6
0.2,50,0.0022172050538347764,0.995049504950495,0.010975376638669815,583.1287128712871,588.0,702,316
0.2,100,0.0018792967622737692,0.995049504950495,0.009317336392594121,682.1089108910891,690.0,749,524
0.2,300,0.0016877261399296292,1.0,0.008375214019203991,762.4257425742575,764.0,776,735
0.2,500,0.0016623182196066285,1.0,0.008250015372995726,774.2772277227723,776.0,776,761
0.30000000000000004,5,0.012101376426325723,0.9900990099009901,0.05283584161428172,204.34653465346534,194.0,443,6
0.30000000000000004,50,0.002217014315621433,0.995049504950495,0.010974241472737293,584.049504950495,591.0,702,316
0.30000000000000004,100,0.0018760944491871248,0.995049504950495,0.00930147608512634,683.5049504950495,691.0,757,530
0.30000000000000004,300,0.0016736879786291672,0.995049504950495,0.008305770484796832,762.8514851485148,765.0,776,729
0.30000000000000004,500,0.0016625692776212394,1.0,0.008251228991714429,774.2970297029703,776.0,776,761
0.4,5,0.011332730877898895,0.9900990099009901,0.04983813930364563,206.47524752475246,194.0,443,6
0.4,50,0.0022181553914805813,0.995049504950495,0.010978382194827338,586.9306930693069,597.0,709,316
0.4,100,0.001868178388368284,0.995049504950495,0.009262564997536993,686.2475247524752,691.0,757,530
0.4,300,0.001674906752762242,0.995049504950495,0.008311732907389905,762.5247524752475,765.0,776,729
0.4,500,0.0016624855817983157,1.0,0.00825082335689956,774.2970297029703,776.0,776,761
0.5,5,0.011421468422375292,0.9900990099009901,0.05024088607095615,204.59405940594058,194.0,443,6
0.5,50,0.002194494402504826,0.995049504950495,0.010863966990593443,589.6732673267327,599.0,735,344
0.5,100,0.0018692245467108964,0.995049504950495,0.009267601098240017,686.0990099009902,691.0,757,530
0.5,300,0.0016747307549915815,0.995049504950495,0.00831088053477088,762.5247524752475,765.0,776,729
0.5,500,0.0016624371498894593,1.0,0.008250592077923802,774.2772277227723,776.0,776,761
0.6000000000000001,5,0.01136004666596314,0.9900990099009901,0.049967411740813865,205.34653465346534,194.0,443,6
0.6000000000000001,50,0.0021985734105832723,0.995049504950495,0.010882507263431814,590.6534653465346,599.0,740,369
0.6000000000000001,100,0.0018672683243415107,0.995049504950495,0.009258032798880874,686.7623762376238,697.0,763,530
0.6000000000000001,300,0.0016741683843476435,0.995049504950495,0.008308106867154991,762.8019801980198,765.0,776,729
0.6000000000000001,500,0.0016626207738130749,1.0,0.008251507385196337,774.1287128712871,776.0,776,761
0.7000000000000001,5,0.011281942508070183,0.9900990099009901,0.04959471584136945,208.7029702970297,194.0,443,6
0.7000000000000001,50,0.00219268243833343,0.995049504950495,0.01085387805263702,591.7227722772277,604.0,740,371
0.7000000000000001,100,0.0018651576821175557,0.995049504950495,0.009247600072850116,687.6633663366337,696.0,763,530
0.7000000000000001,300,0.0016750531925151318,0.995049504950495,0.008312491676830652,762.2871287128713,766.0,776,703
0.7000000000000001,500,0.0016627327588385117,1.0,0.008252074609012084,773.990099009901,776.0,776,749
0.8,5,0.011229183225173254,0.9801980198019802,0.0493324216366983,208.0891089108911,194.0,443,6
0.8,50,0.0021982441905460197,0.995049504950495,0.010880783752501202,591.1782178217821,604.0,735,371
0.8,100,0.0018642515704003237,0.995049504950495,0.009243152303941942,687.950495049505,696.0,763,530
0.8,300,0.0016745080930887306,0.995049504950495,0.008309817589953509,762.5049504950495,766.0,776,703
0.8,500,0.0016627825330675858,1.0,0.008252320922722151,773.960396039604,776.0,776,749
0.9,5,0.011208747745092736,0.9801980198019802,0.04924388819319001,208.14851485148515,194.0,443,6
0.9,50,0.0021868011729571685,0.995049504950495,0.010824659431900972,593.8613861386139,605.0,735,371
0.9,100,0.0018620736527422258,0.995049504950495,0.009232307632610941,689.2376237623762,698.0,763,530
0.9,300,0.0016752424935681707,0.995049504950495,0.008313437379371192,762.1584158415842,765.0,776,703
0.9,500,0.0016623664378844368,1.0,0.008250270221908648,774.1584158415842,776.0,776,749
1.0,5,0.011041561949617123,0.9801980198019802,0.048488368563283826,209.5742574257426,194.0,443,6
1.0,50,0.0021871125395482795,0.995049504950495,0.01082618191510056,593.8316831683169,605.0,735,371
1.0,100,0.0018574543126031184,0.995049504950495,0.009209749257241528,690.3762376237623,699.0,763,530
1.0,300,0.0016739577156034617,0.995049504950495,0.00830708429235249,762.8811881188119,768.0,776,703
1.0,500,0.001662514592745383,1.0,0.00825098330647996,774.1881188118812,776.0,776,749
