Lambda,N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
0.0,5,0.010485665549065621,0.8979417670682731,0.04579681622230258,214.4628514056225,202.0,488,6
0.0,50,0.002111504553240531,0.9800200803212851,0.01044561680958119,600.4076305220883,609.0,758,258
0.0,100,0.0018337032710311178,0.9892235609103078,0.009085721544872737,690.0873493975904,698.0,768,479
0.0,300,0.0016639998515639355,0.9994979919678715,0.008252570427541411,766.9447791164658,768.0,776,729
0.0,500,0.0016481640477132343,0.9994979919678715,0.008174668021201738,774.2600401606426,774.0,776,768
0.1,5,0.012879652117605467,0.997322623828648,0.05676038575133304,191.4628514056225,194.0,481,6
0.1,50,0.002200897055234757,1.0,0.010883641986421087,590.0281124497992,592.0,747,316
0.1,100,0.0018748113298537128,1.0,0.009288301407093353,683.906626506024,687.0,768,524
0.1,300,0.0016717213592043255,1.0,0.008290626680944008,763.8915662650602,766.0,776,703
0.1,500,0.0016498040838359527,1.0,0.008182778027558115,774.0763052208836,774.0,776,755
0.2,5,0.012682962308117711,0.9982429718875502,0.05658374908727315,190.32429718875503,194.0,476,6
0.2,50,0.0021995392638064796,1.0,0.010876350736504087,590.7560240963855,596.0,735,307
0.2,100,0.0018716446992000626,1.0,0.009272936293924054,684.5612449799197,688.0,768,547
0.2,300,0.001672242130734221,1.0,0.00829319606703171,763.6164658634539,766.0,776,703
0.2,500,0.0016500916970516603,1.0,0.008184207907833916,773.933734939759,776.0,776,749
0.30000000000000004,5,0.012510000313082175,0.9995816599732262,0.05573738665226057,192.1144578313253,194.0,469,6
0.30000000000000004,50,0.0021894344687279537,1.0,0.01082691660325897,592.8423694779117,597.0,735,315
0.30000000000000004,100,0.0018665923266119222,1.0,0.009248085223769272,686.5200803212851,691.0,768,517
0.30000000000000004,300,0.0016719457907670991,1.0,0.008291757756586646,763.7078313253012,766.0,776,705
0.30000000000000004,500,0.001650137526006768,1.0,0.008184446463285248,773.8664658634539,776.0,776,749
0.4,5,0.012396420969887708,0.9998326639892905,0.055225304465833486,193.66666666666666,194.0,469,6
0.4,50,0.0021806383348150792,1.0,0.010784054985912773,594.5732931726908,597.0,736,315
0.4,100,0.0018630645743004796,1.0,0.009230741561684571,687.7098393574297,693.0,768,527
0.4,300,0.001671581679184329,1.0,0.008289983930098986,763.8012048192771,766.0,776,705
0.4,500,0.0016500475728081772,1.0,0.008184007182018059,773.8975903614457,776.0,776,749
0.5,5,0.012011244993636766,0.999330655957162,0.05393456261360196,195.4487951807229,194.0,469,6
0.5,50,0.0021747766934391514,1.0,0.01075546519495556,596.320281124498,600.0,741,289
0.5,100,0.0018618484465286111,1.0,0.009224672781462741,688.1847389558233,692.0,774,527
0.5,300,0.0016712109226523233,1.0,0.008288124906663964,764.066265060241,766.0,776,720
0.5,500,0.0016497456559374844,1.0,0.008182519915389064,774.0451807228916,776.0,776,749
0.6000000000000001,5,0.012099578460168145,0.9995816599732262,0.05411372127015901,196.07429718875503,194.0,469,6
0.6000000000000001,50,0.0021743449251860805,1.0,0.010753383707132452,596.6817269076305,601.0,741,305
0.6000000000000001,100,0.0018596402237966274,1.0,0.009213868007509481,688.8042168674699,693.0,774,527
0.6000000000000001,300,0.0016709993338764279,1.0,0.008287087560990197,764.144578313253,766.0,776,720
0.6000000000000001,500,0.0016497423002458282,1.0,0.008182499534810992,774.0612449799197,776.0,776,741
0.7000000000000001,5,0.01197148046308199,0.9998326639892905,0.05372064098997895,196.67570281124497,194.0,469,6
0.7000000000000001,50,0.002173006211983588,1.0,0.010746655503801994,597.3323293172691,602.0,741,305
0.7000000000000001,100,0.0018583933674511618,1.0,0.009207858036525206,689.1767068273092,695.0,774,527
0.7000000000000001,300,0.0016711136007018458,1.0,0.008287644072036611,764.1335341365461,766.0,776,720
0.7000000000000001,500,0.0016496144515275497,1.0,0.008181876842977333,774.0993975903615,776.0,776,741
0.8,5,0.011792138954270085,0.9998326639892905,0.053207306419347046,196.4628514056225,194.0,469,6
0.8,50,0.0021730788208262665,1.0,0.010746983659785223,597.5642570281125,603.0,741,305
0.8,100,0.00185737561783583,1.0,0.009202790365567266,689.683734939759,695.0,774,527
0.8,300,0.0016707196883761345,1.0,0.008285712478253621,764.3012048192771,768.0,776,713
0.8,500,0.0016494662897012298,1.0,0.00818114720828619,774.1666666666666,776.0,776,741
0.9,5,0.011717818676700862,0.9998326639892905,0.052895766854404815,197.13855421686748,194.0,469,6
0.9,50,0.0021681356312204993,1.0,0.010723168337258056,598.3504016064257,602.0,741,305
0.9,100,0.001857344824766817,1.0,0.009202606983975434,689.7620481927711,694.0,774,527
0.9,300,0.0016702269108478784,1.0,0.008283283878887444,764.5371485943775,768.0,776,720
0.9,500,0.00164939449335671,1.0,0.008180793107121937,774.2028112449799,776.0,776,741
1.0,5,0.011638987218100912,0.9998326639892905,0.05256159292715573,197.45281124497993,194.0,484,6
1.0,50,0.002167139223413211,1.0,0.010718618576463373,598.4769076305221,602.0,746,305
1.0,100,0.001855352111962378,1.0,0.009192847274589386,690.5783132530121,695.0,776,527
1.0,300,0.0016692753240515452,1.0,0.008278676948001084,764.7951807228916,768.0,776,718
1.0,500,0.0016493347537526847,1.0,0.008180505655047398,774.1957831325301,776.0,776,741
