Lambda,N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
0.0,5,0.010485665549065621,0.8979417670682731,0.04579681622230258,214.4628514056225,202.0,488,6
0.0,50,0.002111504553240531,0.9800200803212851,0.01044561680958119,600.4076305220883,609.0,758,258
0.0,100,0.0018337032710311178,0.9892235609103078,0.009085721544872737,690.0873493975904,698.0,768,479
0.0,300,0.0016639998515639355,0.9994979919678715,0.008252570427541411,766.9447791164658,768.0,776,729
0.0,500,0.0016481640477132343,0.9994979919678715,0.008174668021201738,774.2600401606426,774.0,776,768
0.1,5,0.017095382973936764,0.7546184738955823,0.07085038243404858,112.76907630522088,59.0,384,6
0.1,50,0.007431449208174189,0.8044846050870148,0.03512640269788776,185.88453815261045,160.0,584,51
0.1,100,0.004463554071208639,0.861546184738956,0.021707890851646962,272.4186746987952,231.0,776,128
0.1,300,0.002454735228751752,0.9427710843373494,0.01210966986610758,515.9849397590361,398.0,776,339
0.1,500,0.0016844734434754254,0.9994979919678715,0.008352427382461574,762.3805220883534,776.0,776,582
0.2,5,0.017828898211396868,0.7508534136546186,0.0725992880760893,112.214859437751,59.0,384,5
0.2,50,0.008060215233252753,0.7989625167336011,0.03784532659118077,178.67168674698794,147.5,433,51
0.2,100,0.004728088333788295,0.8491633199464526,0.02293820500391145,257.4859437751004,197.0,433,123
0.2,300,0.0026216382950481564,0.9362449799196787,0.012922024584020595,475.144578313253,398.0,776,325
0.2,500,0.0017576985430761468,0.9974899598393574,0.008711066077747548,734.8574297188756,776.0,776,582
0.30000000000000004,5,0.01754476818767762,0.7458333333333333,0.0720675429038163,111.75,59.0,384,5
0.30000000000000004,50,0.008421022935423775,0.8004685408299866,0.0394280844489524,175.76706827309238,138.0,433,51
0.30000000000000004,100,0.004883715008401617,0.8469879518072291,0.023663803978449426,253.1074297188755,194.0,433,109
0.30000000000000004,300,0.002725267877946959,0.9282128514056225,0.013424839949477432,450.4026104417671,398.0,776,320
0.30000000000000004,500,0.0018015416774860983,0.9959839357429718,0.008926054716762518,718.2299196787149,774.0,776,582
